_Annual_J-D_1988_____________ L-OTI(^S^o^N^C) Anomaly vs 1951-1980              
   i   j     lon     lat    array(i,j)
  19   4 -143.00  -83.00        1.2049
  20   4 -141.00  -83.00        1.2049
  21   4 -139.00  -83.00        1.2049
  22   4 -137.00  -83.00        1.2049
  23   4 -135.00  -83.00        1.2049
  24   4 -133.00  -83.00        1.2049
  25   4 -131.00  -83.00        1.2049
  26   4 -129.00  -83.00        1.2049
  27   4 -127.00  -83.00        1.2049
  28   4 -125.00  -83.00        1.2049
  29   4 -123.00  -83.00        1.2049
  30   4 -121.00  -83.00        1.2049
  31   4 -119.00  -83.00        1.2049
  32   4 -117.00  -83.00        1.2049
  33   4 -115.00  -83.00        1.2049
  34   4 -113.00  -83.00        1.2049
  35   4 -111.00  -83.00        1.2049
  36   4 -109.00  -83.00        1.2049
  37   4 -107.00  -83.00        1.2049
  38   4 -105.00  -83.00        1.2049
  39   4 -103.00  -83.00        1.2049
  40   4 -101.00  -83.00        1.2049
  41   4  -99.00  -83.00        1.2049
  42   4  -97.00  -83.00        1.2049
  43   4  -95.00  -83.00        1.2049
  44   4  -93.00  -83.00        1.2049
  45   4  -91.00  -83.00        1.2049
  46   4  -89.00  -83.00        1.2049
  47   4  -87.00  -83.00        1.2049
  48   4  -85.00  -83.00        1.2049
  49   4  -83.00  -83.00        1.2049
  50   4  -81.00  -83.00        1.2049
  51   4  -79.00  -83.00        1.2049
  52   4  -77.00  -83.00        1.2049
  53   4  -75.00  -83.00        1.2049
  54   4  -73.00  -83.00        1.2049
  55   4  -71.00  -83.00        1.2049
  56   4  -69.00  -83.00        1.2049
  57   4  -67.00  -83.00        1.2049
  58   4  -65.00  -83.00        1.2049
  59   4  -63.00  -83.00        1.2049
  60   4  -61.00  -83.00        1.2049
  61   4  -59.00  -83.00        1.2049
  62   4  -57.00  -83.00        1.2049
  63   4  -55.00  -83.00        1.2049
  64   4  -53.00  -83.00        1.2049
  65   4  -51.00  -83.00        1.2049
  66   4  -49.00  -83.00        1.2049
  67   4  -47.00  -83.00        1.2049
  68   4  -45.00  -83.00        1.2049
  69   4  -43.00  -83.00        1.2049
  70   4  -41.00  -83.00        1.2049
  71   4  -39.00  -83.00        1.2049
  72   4  -37.00  -83.00        1.2049
  73   4  -35.00  -83.00        1.2049
  74   4  -33.00  -83.00        1.2049
  75   4  -31.00  -83.00        1.2049
  76   4  -29.00  -83.00        1.2049
  77   4  -27.00  -83.00        1.2049
  78   4  -25.00  -83.00        1.2049
  79   4  -23.00  -83.00        1.2049
  80   4  -21.00  -83.00        1.2049
  81   4  -19.00  -83.00        1.2049
  82   4  -17.00  -83.00        1.2049
  83   4  -15.00  -83.00        1.2049
  84   4  -13.00  -83.00        1.2049
  85   4  -11.00  -83.00        1.2049
  86   4   -9.00  -83.00        1.2049
  87   4   -7.00  -83.00        1.2049
  88   4   -5.00  -83.00        1.2049
  89   4   -3.00  -83.00        1.2049
  90   4   -1.00  -83.00        1.2049
  91   4    1.00  -83.00        1.2049
  92   4    3.00  -83.00        1.2049
  93   4    5.00  -83.00        1.2049
  94   4    7.00  -83.00        1.2049
  95   4    9.00  -83.00        1.2049
  96   4   11.00  -83.00        1.2049
  97   4   13.00  -83.00        1.2049
  98   4   15.00  -83.00        1.2049
  99   4   17.00  -83.00        1.2049
 100   4   19.00  -83.00        1.2049
 101   4   21.00  -83.00        1.2049
 102   4   23.00  -83.00        1.2049
 103   4   25.00  -83.00        1.2049
 104   4   27.00  -83.00        1.2049
 105   4   29.00  -83.00        1.2049
 106   4   31.00  -83.00        1.2049
 107   4   33.00  -83.00        1.2049
 108   4   35.00  -83.00        1.2049
 109   4   37.00  -83.00        1.2049
 110   4   39.00  -83.00        1.2049
 111   4   41.00  -83.00        1.2049
 112   4   43.00  -83.00        1.2049
 113   4   45.00  -83.00        1.2049
 114   4   47.00  -83.00        1.2049
 115   4   49.00  -83.00        1.2049
 116   4   51.00  -83.00        1.2049
 117   4   53.00  -83.00        1.2049
 118   4   55.00  -83.00        1.2049
 119   4   57.00  -83.00        1.2049
 120   4   59.00  -83.00        1.2049
 121   4   61.00  -83.00        1.2049
 122   4   63.00  -83.00        1.2049
 123   4   65.00  -83.00        1.2049
 124   4   67.00  -83.00        1.2049
 125   4   69.00  -83.00        1.2049
 126   4   71.00  -83.00        1.2049
 127   4   73.00  -83.00        1.2049
 128   4   75.00  -83.00        1.2049
 129   4   77.00  -83.00        1.2049
 130   4   79.00  -83.00        1.2049
 131   4   81.00  -83.00        1.2049
 132   4   83.00  -83.00        1.2049
 133   4   85.00  -83.00        1.2049
 134   4   87.00  -83.00        1.2049
 135   4   89.00  -83.00        1.2049
 136   4   91.00  -83.00        1.2049
 137   4   93.00  -83.00        1.2049
 138   4   95.00  -83.00        1.2049
 139   4   97.00  -83.00        1.2049
 140   4   99.00  -83.00        1.2049
 141   4  101.00  -83.00        1.2049
 142   4  103.00  -83.00        1.2049
 143   4  105.00  -83.00        1.2049
